Abatteur
Reporter de guerre
Retraité
Robot
Rockstar
Rôdeur
Roi
Sage
Sage-femme
Samouraï
Scientifique
Scout
Scribe
Sculpteur
Secouriste
Secrétaire
Sentinelle
Serrurier
Serveur de drive-in
Sirène
Sismologue
Skieur
Soldat
Soldat romain
Sommelier
Sorcier
Sorcière
Sorteur
Sous-marinier
Spéléologue
Sportif
Standardiste de centre d’appel
Strip-teaseuse
Sultan
Sumo
Super-héros
Surveillant
Syndicaliste
Tailleur
Tailleur de pierre
Tanneur
Tatoueur
Témoin de Jéhova
Templier
Terroriste
Thanatopracteur
Tisserand
Top-model
Torero
Touriste
Traducteur
Traiteur
Trésorier
Tueur en série
Turfiste
Vampire
Vendeur
Vestale
Vétérinaire
Vigile
Vigneron
Viking
Viticulteur
Vitrier
Vizir
Voiturier
Volcanologue
Voleur
Voleur à la tire
Voyant
Vulcanologue
Zombie
